基金代码,拼音缩写,基金简称,基金类型,拼音全称
021391,DXCZYXHHFQC,东兴成长优选混合发起C,混合型-偏股,DONGXINGCHENGZHANGYOUXUANHUNHEFAQIC
021404,CJHZLHXGHHFQA,长江汇智量化选股混合发起A,混合型-偏股,CHANGJIANGHUIZHILIANGHUAXUANGUHUNHEFAQIA
021405,CJHZLHXGHHFQC,长江汇智量化选股混合发起C,混合型-偏股,CHANGJIANGHUIZHILIANGHUAXUANGUHUNHEFAQIC
021427,GTYZJXHHA,国泰优质精选混合A,混合型-偏股,GUOTAIYOUZHIJINGXUANHUNHEA
021428,GTYZJXHHC,国泰优质精选混合C,混合型-偏股,GUOTAIYOUZHIJINGXUANHUNHEC
021431,JSCCJRCZHHA,景顺长城精锐成长混合A,混合型-偏股,JINGSHUNCHANGCHENGJINGRUICHENGZHANGHUNHEA
021432,JSCCJRCZHHC,景顺长城精锐成长混合C,混合型-偏股,JINGSHUNCHANGCHENGJINGRUICHENGZHANGHUNHEC
021448,HBCZCLHHC,华宝成长策略混合C,混合型-偏股,HUABAOCHENGZHANGCELUEHUNHEC
021450,FGYLCYHHFQSA,富国医疗产业混合发起式A,混合型-偏股,FUGUOYILIAOCHANYEHUNHEFAQISHIA
021451,FGYLCYHHFQSC,富国医疗产业混合发起式C,混合型-偏股,FUGUOYILIAOCHANYEHUNHEFAQISHIC
021455,NYHLZXHHA,农银红利甄选混合A,混合型-偏股,NONGYINHONGLIZHENXUANHUNHEA
021456,NYHLZXHHC,农银红利甄选混合C,混合型-偏股,NONGYINHONGLIZHENXUANHUNHEC
021476,YHESGZTHHFQSA,银河ESG主题混合发起式A,混合型-偏股,YINHEESGZHUTIHUNHEFAQISHIA
021477,YHESGZTHHFQSC,银河ESG主题混合发起式C,混合型-偏股,YINHEESGZHUTIHUNHEFAQISHIC
021478,DFZQYXLHPZHHC,东方周期优选灵活配置混合C,混合型-灵活,DONGFANGZHOUQIYOUXUANLINGHUOPEIZHIHUNHEC
021479,GLAWJHHC,国联安稳健混合C,混合型-灵活,GUOLIANANWENJIANHUNHEC
021488,CSYLJKHHC,长盛养老健康混合C,混合型-灵活,CHANGSHENGYANGLAOJIANKANGHUNHEC
021489,ZHQSLHHHFQA,中航趋势领航混合发起A,混合型-偏股,ZHONGHANGQUSHILINGHANGHUNHEFAQIA
